madsnorgaard/agent-resources/drupal-expert	madsnorgaard/agent-resources	drupal-expert	drupal-expert	142
madsnorgaard/agent-resources/drupal-security	madsnorgaard/agent-resources	drupal-security	drupal-security	95
mindrally/skills/drupal-development	mindrally/skills	drupal-development	drupal-development	78
bethamil/agent-skills/drupal-update	bethamil/agent-skills	drupal-update	drupal-update	22
madsnorgaard/agent-resources/drupal-migration	madsnorgaard/agent-resources	drupal-migration	drupal-migration	22
drupal-canvas/skills/canvas-component-metadata	drupal-canvas/skills	canvas-component-metadata	canvas-component-metadata	18
drupal-canvas/skills/canvas-component-definition	drupal-canvas/skills	canvas-component-definition	canvas-component-definition	17
drupal-canvas/skills/canvas-component-utils	drupal-canvas/skills	canvas-component-utils	canvas-component-utils	16
drupal-canvas/skills/canvas-styling-conventions	drupal-canvas/skills	canvas-styling-conventions	canvas-styling-conventions	16
drupal-canvas/skills/canvas-data-fetching	drupal-canvas/skills	canvas-data-fetching	canvas-data-fetching	16
drupal-canvas/skills/canvas-component-composability	drupal-canvas/skills	canvas-component-composability	canvas-component-composability	16
drupal-canvas/skills/canvas-component-upload	drupal-canvas/skills	canvas-component-upload	canvas-component-upload	16
kanopi/cms-cultivator/drupalorg-issue-helper	kanopi/cms-cultivator	drupalorg-issue-helper	drupalorg-issue-helper	11
omedia/drupal-skill/drupal-frontend	omedia/drupal-skill	drupal-frontend	drupal-frontend	11
grasmash/drupal-claude-skills/drupal-config-mgmt	grasmash/drupal-claude-skills	drupal-config-mgmt	drupal-config-mgmt	8
madsnorgaard/drupal-agent-resources/drupal-expert	madsnorgaard/drupal-agent-resources	drupal-expert	drupal-expert	8
grasmash/drupal-claude-skills/drupal-at-your-fingertips	grasmash/drupal-claude-skills	drupal-at-your-fingertips	drupal-at-your-fingertips	8
grasmash/drupal-claude-skills/drupal-ddev	grasmash/drupal-claude-skills	drupal-ddev	drupal-ddev	8
kanopi/cms-cultivator/drupalorg-contribution-helper	kanopi/cms-cultivator	drupalorg-contribution-helper	drupalorg-contribution-helper	8
drupal-canvas/skills/canvas-slots-for-repeatable-content	drupal-canvas/skills	canvas-slots-for-repeatable-content	canvas-slots-for-repeatable-content	7
drupal-canvas/skills/canvas-component-naming	drupal-canvas/skills	canvas-component-naming	canvas-component-naming	7
sparkfabrik/sf-awesome-copilot/drupal-lazy-builders	sparkfabrik/sf-awesome-copilot	drupal-lazy-builders	drupal-lazy-builders	7
scottfalconer/drupal-issue-queue/drupal-issue-queue	scottfalconer/drupal-issue-queue	drupal-issue-queue	drupal-issue-queue	6
ronaldtebrake/drupal-coding-standards-skill/drupal-coding-standards	ronaldtebrake/drupal-coding-standards-skill	drupal-coding-standards	drupal-coding-standards	6
omedia/drupal-skill/drupal-backend	omedia/drupal-skill	drupal-backend	drupal-backend	6
factorial-io/skills/drupal-recipe-content	factorial-io/skills	drupal-recipe-content	drupal-recipe-content	6
sparkfabrik/sf-awesome-copilot/drupal-cache-contexts	sparkfabrik/sf-awesome-copilot	drupal-cache-contexts	drupal-cache-contexts	6
scottfalconer/drupal-intent-testing/drupal-intent-testing	scottfalconer/drupal-intent-testing	drupal-intent-testing	drupal-intent-testing	5
grasmash/drupal-claude-skills/ivangrynenko-cursorrules-drupal	grasmash/drupal-claude-skills	ivangrynenko-cursorrules-drupal	ivangrynenko-cursorrules-drupal	5
scottfalconer/drupal-contribute-fix/drupal-contribute-fix	scottfalconer/drupal-contribute-fix	drupal-contribute-fix	drupal-contribute-fix	5
grasmash/drupal-claude-skills/drupal-contrib-mgmt	grasmash/drupal-claude-skills	drupal-contrib-mgmt	drupal-contrib-mgmt	5
madsnorgaard/drupal-agent-resources/ddev-expert	madsnorgaard/drupal-agent-resources	ddev-expert	ddev-expert	5
madsnorgaard/drupal-agent-resources/drupal-security	madsnorgaard/drupal-agent-resources	drupal-security	drupal-security	4
sparkfabrik/sf-awesome-copilot/drupal-cache-debugging	sparkfabrik/sf-awesome-copilot	drupal-cache-debugging	drupal-cache-debugging	4
madsnorgaard/drupal-agent-resources/drupal-migration	madsnorgaard/drupal-agent-resources	drupal-migration	drupal-migration	4
omedia/drupal-skill/drupal-tooling	omedia/drupal-skill	drupal-tooling	drupal-tooling	4
madsnorgaard/drupal-agent-resources/docker-local	madsnorgaard/drupal-agent-resources	docker-local	docker-local	4
sparkfabrik/sf-awesome-copilot/drupal-cache-maxage	sparkfabrik/sf-awesome-copilot	drupal-cache-maxage	drupal-cache-maxage	3
sparkfabrik/sf-awesome-copilot/drupal-cache-tags	sparkfabrik/sf-awesome-copilot	drupal-cache-tags	drupal-cache-tags	3
sparkfabrik/sf-awesome-copilot/drupal-dynamic-cache	sparkfabrik/sf-awesome-copilot	drupal-dynamic-cache	drupal-dynamic-cache	3
sparkfabrik/sf-awesome-copilot/sparkfabrik-drupal-containers	sparkfabrik/sf-awesome-copilot	sparkfabrik-drupal-containers	sparkfabrik-drupal-containers	2
neversight/learn-skills.dev/drupal-migration	neversight/learn-skills.dev	drupal-migration	drupal-migration	1
