id,source,skill_id,skill_name,installs,skills_url,github_repo_url,mapped_skill_md_path,mapped_skill_folder,repo_sha,mapping_status,content_sha256,canonical_id,alias_of
madsnorgaard/agent-resources/drupal-expert,madsnorgaard/agent-resources,drupal-expert,drupal-expert,142,https://skills.sh/madsnorgaard/agent-resources/drupal-expert,https://github.com/madsnorgaard/agent-resources,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__agent-resources/.claude/skills/drupal-expert/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__agent-resources/.claude/skills/drupal-expert,9cb92d8e129f9cb6a11e3bfb4fb06bddbe4e5f21,mapped-frontmatter-name,15e924220d1b41ae135d0f19ec24fabb081ef60e882e30df8ff630ec28e68b91,madsnorgaard/agent-resources/drupal-expert,
madsnorgaard/agent-resources/drupal-security,madsnorgaard/agent-resources,drupal-security,drupal-security,95,https://skills.sh/madsnorgaard/agent-resources/drupal-security,https://github.com/madsnorgaard/agent-resources,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__agent-resources/.claude/skills/drupal-security/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__agent-resources/.claude/skills/drupal-security,9cb92d8e129f9cb6a11e3bfb4fb06bddbe4e5f21,mapped-frontmatter-name,6ecaae5ae5cae8b7ddd3b48ca9dce41c2b85186593def6f15b17536d2f19586e,madsnorgaard/agent-resources/drupal-security,
mindrally/skills/drupal-development,mindrally/skills,drupal-development,drupal-development,78,https://skills.sh/mindrally/skills/drupal-development,https://github.com/mindrally/skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/mindrally__skills/drupal-development/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/mindrally__skills/drupal-development,47f47c12e62f62b5e171bd5af61d0fc24b329701,mapped-frontmatter-name,d892b5af604d5d736721300b90bc6f75929376b43e1dc65ac0040982637b8fcb,mindrally/skills/drupal-development,
bethamil/agent-skills/drupal-update,bethamil/agent-skills,drupal-update,drupal-update,22,https://skills.sh/bethamil/agent-skills/drupal-update,https://github.com/bethamil/agent-skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/bethamil__agent-skills/drupal-update/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/bethamil__agent-skills/drupal-update,e7ffea4e000553201da25c98c804105f59f718e6,mapped-frontmatter-name,7f7815fc019baa039aaeedbe17f569e9e4342c220dae8db616efd61c69feba04,bethamil/agent-skills/drupal-update,
madsnorgaard/agent-resources/drupal-migration,madsnorgaard/agent-resources,drupal-migration,drupal-migration,22,https://skills.sh/madsnorgaard/agent-resources/drupal-migration,https://github.com/madsnorgaard/agent-resources,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__agent-resources/.claude/skills/drupal-migration/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/madsnorgaard__agent-resources/.claude/skills/drupal-migration,9cb92d8e129f9cb6a11e3bfb4fb06bddbe4e5f21,mapped-frontmatter-name,09d65aeb886aaedd7ba83549f44492726dd59d434da5743610b2d59600ab19f0,madsnorgaard/agent-resources/drupal-migration,
drupal-canvas/skills/canvas-component-metadata,drupal-canvas/skills,canvas-component-metadata,canvas-component-metadata,18,https://skills.sh/drupal-canvas/skills/canvas-component-metadata,https://github.com/drupal-canvas/skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-metadata/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-metadata,ed912ea2210b373f01dd32d093cf8687dededc42,mapped-frontmatter-name,b6e2552e51583e0d5d26c226e6e9515663ce3f78de60b55319c85c71dcaaa911,drupal-canvas/skills/canvas-component-metadata,
drupal-canvas/skills/canvas-component-definition,drupal-canvas/skills,canvas-component-definition,canvas-component-definition,17,https://skills.sh/drupal-canvas/skills/canvas-component-definition,https://github.com/drupal-canvas/skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-definition/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-definition,ed912ea2210b373f01dd32d093cf8687dededc42,mapped-frontmatter-name,4381dd0acfedcd11b84bb6775b757e68870371419d4565401b16461b1d1d9ce7,drupal-canvas/skills/canvas-component-definition,
drupal-canvas/skills/canvas-component-composability,drupal-canvas/skills,canvas-component-composability,canvas-component-composability,16,https://skills.sh/drupal-canvas/skills/canvas-component-composability,https://github.com/drupal-canvas/skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-composability/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-composability,ed912ea2210b373f01dd32d093cf8687dededc42,mapped-frontmatter-name,9c3459fb2ef47e0772bb71a0a6cf613c765c25d4fb0aab8c1ab82bac3bba9ef2,drupal-canvas/skills/canvas-component-composability,
drupal-canvas/skills/canvas-component-upload,drupal-canvas/skills,canvas-component-upload,canvas-component-upload,16,https://skills.sh/drupal-canvas/skills/canvas-component-upload,https://github.com/drupal-canvas/skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-upload/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-upload,ed912ea2210b373f01dd32d093cf8687dededc42,mapped-frontmatter-name,e49d05b1d4766ee91120d5a4aee51531b9ec7fe68c2d5ae2e250da6b51a2c11f,drupal-canvas/skills/canvas-component-upload,
drupal-canvas/skills/canvas-component-utils,drupal-canvas/skills,canvas-component-utils,canvas-component-utils,16,https://skills.sh/drupal-canvas/skills/canvas-component-utils,https://github.com/drupal-canvas/skills,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-utils/SKILL.md,/Users/AlexUA/drupal-critic/research/drupal-skills/upstream/drupal-canvas__skills/skills/canvas-component-utils,ed912ea2210b373f01dd32d093cf8687dededc42,mapped-frontmatter-name,140d345228d15211d76b7fe71ab48e6ed076bdcc23aac728792da36c8e4bbc63,drupal-canvas/skills/canvas-component-utils,
